"","x"
"1","ABE (Allentown/Bethlehem/Easton, PA)"
"2","ABI (Abilene, TX)"
"3","ABQ (Albuquerque, NM)"
"4","ABR (Aberdeen, SD)"
"5","ABY (Albany, GA)"
"6","ACK (Nantucket, MA)"
"7","ACT (Waco, TX)"
"8","ACV (Arcata/Eureka, CA)"
"9","ACY (Atlantic City, NJ)"
"10","ADK (Adak Island, AK)"
"11","ADQ (Kodiak, AK)"
"12","AEX (Alexandria, LA)"
"13","AGS (Augusta, GA)"
"14","AKN (King Salmon, AK)"
"15","ALB (Albany, NY)"
"16","ALO (Waterloo, IA)"
"17","AMA (Amarillo, TX)"
"18","ANC (Anchorage, AK)"
"19","APN (Alpena, MI)"
"20","ASE (Aspen, CO)"
"21","ATL (Atlanta, GA)"
"22","ATW (Appleton, WI)"
"23","AUS (Austin, TX)"
"24","AVL (Asheville, NC)"
"25","AVP (Scranton/Wilkes-Barre, PA)"
"26","AZO (Kalamazoo, MI)"
"27","BDL (Hartford, CT)"
"28","BET (Bethel, AK)"
"29","BFL (Bakersfield, CA)"
"30","BGM (Binghamton, NY)"
"31","BGR (Bangor, ME)"
"32","BHM (Birmingham, AL)"
"33","BIL (Billings, MT)"
"34","BIS (Bismarck/Mandan, ND)"
"35","BJI (Bemidji, MN)"
"36","BKG (Branson, MO)"
"37","BLI (Bellingham, WA)"
"38","BMI (Bloomington/Normal, IL)"
"39","BNA (Nashville, TN)"
"40","BOI (Boise, ID)"
"41","BOS (Boston, MA)"
"42","BPT (Beaumont/Port Arthur, TX)"
"43","BQK (Brunswick, GA)"
"44","BQN (Aguadilla, PR)"
"45","BRD (Brainerd, MN)"
"46","BRO (Brownsville, TX)"
"47","BRW (Barrow, AK)"
"48","BTM (Butte, MT)"
"49","BTR (Baton Rouge, LA)"
"50","BTV (Burlington, VT)"
"51","BUF (Buffalo, NY)"
"52","BUR (Burbank, CA)"
"53","BWI (Baltimore, MD)"
"54","BZN (Bozeman, MT)"
"55","CAE (Columbia, SC)"
"56","CAK (Akron, OH)"
"57","CDC (Cedar City, UT)"
"58","CDV (Cordova, AK)"
"59","CEC (Crescent City, CA)"
"60","CHA (Chattanooga, TN)"
"61","CHO (Charlottesville, VA)"
"62","CHS (Charleston, SC)"
"63","CIC (Chico, CA)"
"64","CID (Cedar Rapids/Iowa City, IA)"
"65","CIU (Sault Ste. Marie, MI)"
"66","CLD (Carlsbad, CA)"
"67","CLE (Cleveland, OH)"
"68","CLL (College Station/Bryan, TX)"
"69","CLT (Charlotte, NC)"
"70","CMH (Columbus, OH)"
"71","CMI (Champaign/Urbana, IL)"
"72","CMX (Hancock/Houghton, MI)"
"73","CNY (Moab, UT)"
"74","COD (Cody, WY)"
"75","COS (Colorado Springs, CO)"
"76","COU (Columbia, MO)"
"77","CPR (Casper, WY)"
"78","CRP (Corpus Christi, TX)"
"79","CRW (Charleston/Dunbar, WV)"
"80","CSG (Columbus, GA)"
"81","CVG (Cincinnati, OH)"
"82","CWA (Mosinee, WI)"
"83","DAB (Daytona Beach, FL)"
"84","DAL (Dallas, TX)"
"85","DAY (Dayton, OH)"
"86","DBQ (Dubuque, IA)"
"87","DCA (Washington, DC)"
"88","DEN (Denver, CO)"
"89","DFW (Dallas/Fort Worth, TX)"
"90","DHN (Dothan, AL)"
"91","DIK (Dickinson, ND)"
"92","DLG (Dillingham, AK)"
"93","DLH (Duluth, MN)"
"94","DRO (Durango, CO)"
"95","DSM (Des Moines, IA)"
"96","DTW (Detroit, MI)"
"97","DVL (Devils Lake, ND)"
"98","EAU (Eau Claire, WI)"
"99","ECP (Panama City, FL)"
"100","EGE (Eagle, CO)"
"101","EKO (Elko, NV)"
"102","ELM (Elmira/Corning, NY)"
"103","ELP (El Paso, TX)"
"104","ERI (Erie, PA)"
"105","ESC (Escanaba, MI)"
"106","EUG (Eugene, OR)"
"107","EVV (Evansville, IN)"
"108","EWN (New Bern/Morehead/Beaufort, NC)"
"109","EWR (Newark, NJ)"
"110","EYW (Key West, FL)"
"111","FAI (Fairbanks, AK)"
"112","FAR (Fargo, ND)"
"113","FAT (Fresno, CA)"
"114","FAY (Fayetteville, NC)"
"115","FCA (Kalispell, MT)"
"116","FLG (Flagstaff, AZ)"
"117","FLL (Fort Lauderdale, FL)"
"118","FNT (Flint, MI)"
"119","FOE (Topeka, KS)"
"120","FSD (Sioux Falls, SD)"
"121","FSM (Fort Smith, AR)"
"122","FWA (Fort Wayne, IN)"
"123","GCC (Gillette, WY)"
"124","GCK (Garden City, KS)"
"125","GEG (Spokane, WA)"
"126","GFK (Grand Forks, ND)"
"127","GGG (Longview, TX)"
"128","GJT (Grand Junction, CO)"
"129","GNV (Gainesville, FL)"
"130","GPT (Gulfport/Biloxi, MS)"
"131","GRB (Green Bay, WI)"
"132","GRI (Grand Island, NE)"
"133","GRK (Killeen, TX)"
"134","GRR (Grand Rapids, MI)"
"135","GSO (Greensboro/High Point, NC)"
"136","GSP (Greer, SC)"
"137","GST (Gustavus, AK)"
"138","GTF (Great Falls, MT)"
"139","GTR (Columbus, MS)"
"140","GUC (Gunnison, CO)"
"141","GUM (Guam, TT)"
"142","HDN (Hayden, CO)"
"143","HIB (Hibbing, MN)"
"144","HLN (Helena, MT)"
"145","HNL (Honolulu, HI)"
"146","HOB (Hobbs, NM)"
"147","HOU (Houston, TX)"
"148","HPN (White Plains, NY)"
"149","HRL (Harlingen/San Benito, TX)"
"150","HSV (Huntsville, AL)"
"151","HYA (Hyannis, MA)"
"152","HYS (Hays, KS)"
"153","IAD (Washington, DC)"
"154","IAG (Niagara Falls, NY)"
"155","IAH (Houston, TX)"
"156","ICT (Wichita, KS)"
"157","IDA (Idaho Falls, ID)"
"158","IFP (Bullhead City, AZ)"
"159","ILG (Wilmington, DE)"
"160","ILM (Wilmington, NC)"
"161","IMT (Iron Mountain/Kingsfd, MI)"
"162","IND (Indianapolis, IN)"
"163","INL (International Falls, MN)"
"164","ISN (Williston, ND)"
"165","ISP (Islip, NY)"
"166","ITH (Ithaca/Cortland, NY)"
"167","ITO (Hilo, HI)"
"168","JAC (Jackson, WY)"
"169","JAN (Jackson/Vicksburg, MS)"
"170","JAX (Jacksonville, FL)"
"171","JFK (New York, NY)"
"172","JLN (Joplin, MO)"
"173","JMS (Jamestown, ND)"
"174","JNU (Juneau, AK)"
"175","KOA (Kona, HI)"
"176","KTN (Ketchikan, AK)"
"177","LAN (Lansing, MI)"
"178","LAR (Laramie, WY)"
"179","LAS (Las Vegas, NV)"
"180","LAW (Lawton/Fort Sill, OK)"
"181","LAX (Los Angeles, CA)"
"182","LBB (Lubbock, TX)"
"183","LBE (Latrobe, PA)"
"184","LCH (Lake Charles, LA)"
"185","LEX (Lexington, KY)"
"186","LFT (Lafayette, LA)"
"187","LGA (New York, NY)"
"188","LGB (Long Beach, CA)"
"189","LIH (Lihue, HI)"
"190","LIT (Little Rock, AR)"
"191","LNK (Lincoln, NE)"
"192","LRD (Laredo, TX)"
"193","LSE (La Crosse, WI)"
"194","LWS (Lewiston, ID)"
"195","MAF (Midland/Odessa, TX)"
"196","MBS (Saginaw/Bay City/Midland, MI)"
"197","MCI (Kansas City, MO)"
"198","MCO (Orlando, FL)"
"199","MDT (Harrisburg, PA)"
"200","MDW (Chicago, IL)"
"201","MEI (Meridian, MS)"
"202","MEM (Memphis, TN)"
"203","MFE (Mission/McAllen/Edinburg, TX)"
"204","MFR (Medford, OR)"
"205","MGM (Montgomery, AL)"
"206","MHK (Manhattan/Ft. Riley, KS)"
"207","MHT (Manchester, NH)"
"208","MIA (Miami, FL)"
"209","MKE (Milwaukee, WI)"
"210","MKG (Muskegon, MI)"
"211","MLB (Melbourne, FL)"
"212","MLI (Moline, IL)"
"213","MLU (Monroe, LA)"
"214","MMH (Mammoth Lakes, CA)"
"215","MOB (Mobile, AL)"
"216","MOT (Minot, ND)"
"217","MQT (Marquette, MI)"
"218","MRY (Monterey, CA)"
"219","MSN (Madison, WI)"
"220","MSO (Missoula, MT)"
"221","MSP (Minneapolis, MN)"
"222","MSY (New Orleans, LA)"
"223","MTJ (Montrose/Delta, CO)"
"224","MVY (Martha's Vineyard, MA)"
"225","MYR (Myrtle Beach, SC)"
"226","OAJ (Jacksonville/Camp Lejeune, NC)"
"227","OAK (Oakland, CA)"
"228","OGG (Kahului, HI)"
"229","OKC (Oklahoma City, OK)"
"230","OMA (Omaha, NE)"
"231","OME (Nome, AK)"
"232","ONT (Ontario, CA)"
"233","ORD (Chicago, IL)"
"234","ORF (Norfolk, VA)"
"235","ORH (Worcester, MA)"
"236","OTH (North Bend/Coos Bay, OR)"
"237","OTZ (Kotzebue, AK)"
"238","PAH (Paducah, KY)"
"239","PBG (Plattsburgh, NY)"
"240","PBI (West Palm Beach/Palm Beach, FL)"
"241","PDX (Portland, OR)"
"242","PGD (Punta Gorda, FL)"
"243","PHF (Newport News/Williamsburg, VA)"
"244","PHL (Philadelphia, PA)"
"245","PHX (Phoenix, AZ)"
"246","PIA (Peoria, IL)"
"247","PIB (Hattiesburg/Laurel, MS)"
"248","PIH (Pocatello, ID)"
"249","PIT (Pittsburgh, PA)"
"250","PLN (Pellston, MI)"
"251","PNS (Pensacola, FL)"
"252","PPG (Pago Pago, TT)"
"253","PSC (Pasco/Kennewick/Richland, WA)"
"254","PSE (Ponce, PR)"
"255","PSG (Petersburg, AK)"
"256","PSP (Palm Springs, CA)"
"257","PUB (Pueblo, CO)"
"258","PVD (Providence, RI)"
"259","PWM (Portland, ME)"
"260","RAP (Rapid City, SD)"
"261","RDD (Redding, CA)"
"262","RDM (Bend/Redmond, OR)"
"263","RDU (Raleigh/Durham, NC)"
"264","RHI (Rhinelander, WI)"
"265","RIC (Richmond, VA)"
"266","RKS (Rock Springs, WY)"
"267","RNO (Reno, NV)"
"268","ROA (Roanoke, VA)"
"269","ROC (Rochester, NY)"
"270","ROW (Roswell, NM)"
"271","RST (Rochester, MN)"
"272","RSW (Fort Myers, FL)"
"273","SAF (Santa Fe, NM)"
"274","SAN (San Diego, CA)"
"275","SAT (San Antonio, TX)"
"276","SAV (Savannah, GA)"
"277","SBA (Santa Barbara, CA)"
"278","SBN (South Bend, IN)"
"279","SBP (San Luis Obispo, CA)"
"280","SCC (Deadhorse, AK)"
"281","SCE (State College, PA)"
"282","SDF (Louisville, KY)"
"283","SEA (Seattle, WA)"
"284","SFO (San Francisco, CA)"
"285","SGF (Springfield, MO)"
"286","SGU (St. George, UT)"
"287","SHV (Shreveport, LA)"
"288","SIT (Sitka, AK)"
"289","SJC (San Jose, CA)"
"290","SJT (San Angelo, TX)"
"291","SJU (San Juan, PR)"
"292","SLC (Salt Lake City, UT)"
"293","SMF (Sacramento, CA)"
"294","SMX (Santa Maria, CA)"
"295","SNA (Santa Ana, CA)"
"296","SPI (Springfield, IL)"
"297","SPN (Saipan, TT)"
"298","SPS (Wichita Falls, TX)"
"299","SRQ (Sarasota/Bradenton, FL)"
"300","STC (St. Cloud, MN)"
"301","STL (St. Louis, MO)"
"302","STS (Santa Rosa, CA)"
"303","STT (Charlotte Amalie, VI)"
"304","STX (Christiansted, VI)"
"305","SUN (Sun Valley/Hailey/Ketchum, ID)"
"306","SUX (Sioux City, IA)"
"307","SWF (Newburgh/Poughkeepsie, NY)"
"308","SYR (Syracuse, NY)"
"309","TLH (Tallahassee, FL)"
"310","TOL (Toledo, OH)"
"311","TPA (Tampa, FL)"
"312","TRI (Bristol/Johnson City/Kingsport, TN)"
"313","TTN (Trenton, NJ)"
"314","TUL (Tulsa, OK)"
"315","TUS (Tucson, AZ)"
"316","TVC (Traverse City, MI)"
"317","TWF (Twin Falls, ID)"
"318","TXK (Texarkana, AR)"
"319","TYR (Tyler, TX)"
"320","TYS (Knoxville, TN)"
"321","UST (St. Augustine, FL)"
"322","VEL (Vernal, UT)"
"323","VLD (Valdosta, GA)"
"324","VPS (Valparaiso, FL)"
"325","WRG (Wrangell, AK)"
"326","WYS (West Yellowstone, MT)"
"327","XNA (Fayetteville, AR)"
"328","YAK (Yakutat, AK)"
"329","YUM (Yuma, AZ)"
